env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,1.5968,226,23,4226,10000
20000,0.0000,6.3914,416,42,4416,20000
30000,0.0000,22.1961,957,97,4957,30000
40000,0.3000,59.5498,1212,123,5212,40000
50000,0.5000,79.1817,1471,149,5471,50000
60000,0.2500,59.3768,1721,174,5721,60000
70000,0.0500,42.8801,1971,199,5971,70000
80000,0.8000,131.5080,2231,225,6231,80000
90000,0.1000,53.3307,2474,250,6474,90000
100000,0.4500,89.1845,2736,277,6736,100000
110000,0.9000,138.1598,2988,303,6988,110000
120000,0.0000,0.2315,3245,329,7245,120000
130000,0.0000,12.0387,3403,346,7403,130000
140000,0.8500,114.5496,3753,382,7753,140000
150000,0.9500,117.6498,4000,407,8000,150000
