strategy,seed,total_successes,total_episodes,repeated_success,success_ci_low,success_ci_high,success_std,return_mean,best_human_steps,summary_csv
method,0,75,100,0.7500,0.6570,0.8245,0.1225,120.0592,80.0,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed0_5x20_summary.csv
method,1,85,100,0.8500,0.7672,0.9069,0.0632,137.0220,386.0,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed1_5x20_summary.csv
method,2,82,100,0.8200,0.7333,0.8830,0.0510,127.7254,384.0,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed2_5x20_summary.csv
method,3,88,100,0.8800,0.8019,0.9300,0.0245,144.1870,80.0,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed3_5x20_summary.csv
method,4,86,100,0.8600,0.7786,0.9147,0.0970,145.8080,80.0,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed4_5x20_summary.csv
none,0,74,100,0.7400,0.6463,0.8160,0.0663,125.3376,0.0,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed0_5x20_summary.csv
none,1,78,100,0.7800,0.6893,0.8500,0.0927,128.7835,0.0,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed1_5x20_summary.csv
none,2,80,100,0.8000,0.7112,0.8666,0.0707,125.2476,0.0,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed2_5x20_summary.csv
none,3,82,100,0.8200,0.7333,0.8830,0.0510,136.0821,0.0,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed3_5x20_summary.csv
none,4,86,100,0.8600,0.7786,0.9147,0.0583,138.8218,0.0,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed4_5x20_summary.csv
random,0,69,100,0.6900,0.5937,0.7722,0.1393,105.5491,157.0,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed0_5x20_summary.csv
random,1,99,100,0.9900,0.9455,0.9982,0.0200,166.1823,269.0,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed1_5x20_summary.csv
random,2,61,100,0.6100,0.5120,0.6998,0.0663,113.6971,600.0,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed2_5x20_summary.csv
random,3,98,100,0.9800,0.9300,0.9945,0.0245,132.6383,160.0,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed3_5x20_summary.csv
random,4,99,100,0.9900,0.9455,0.9982,0.0200,159.1598,160.0,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed4_5x20_summary.csv
