strategy,window,starts,start_frac,mean_g2c_norm,mean_g2c_xy,mean_score,mean_p_fail
random_b350,0-2k,15,0.272727,0.281358,0.169347,,
random_b350,2-4k,10,0.181818,0.275462,0.236528,,
random_b350,4-6k,9,0.163636,0.241911,0.205161,,
random_b350,6-8k,11,0.200000,0.281975,0.270026,,
random_b350,8-10k,10,0.181818,0.341290,0.322097,,
lv_voi_scale3,0-2k,12,0.125000,0.271835,0.049244,10.000000,1.000000
lv_voi_scale3,2-4k,0,0.000000,,,,
lv_voi_scale3,4-6k,48,0.500000,0.149470,0.116138,0.040575,0.019727
lv_voi_scale3,6-8k,18,0.187500,0.310153,0.257272,0.028119,0.010123
lv_voi_scale3,8-10k,18,0.187500,0.268258,0.212289,0.035776,0.011384
