primary_source,run_ids,artifact_types,claim_supported,exists,bytes,sha256
figures/R026_MANIFEST.md,R026,paper_artifacts,paper_artifacts_ready,True,817,db0b439ee1ac0ad7c8c752538a228b1a24284523c1121753c0141ac219820fb7
figures/fig1_protocol_hero_r029.pdf,R029,paper_artifacts,protocol_contribution_visualized,True,43029,daa4133cedfaa6ca025f964ea0dcc736efbee70bc61d31ab773fc3a0a4247468
results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,R020,repeated_checkpoint_eval,baseline_success;partial_then_overturned,True,553,53198fa35e63871ddcbdaec8d5aed9f1908769269ba50e1129a71bcdf4fe1f8e
results/r021_random_costmatch/r021_costmatch_aggregate.csv,R021,cost_matched_eval,cost_matched_random_dominates;random_family_frontier;trigger_superiority_rejected,True,842,00bc94d47414db10b135cae4ca8476506e6b7812ef771bee408e77b4a22173de
results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,R022,trigger_repair_eval;trigger_repair_baseline,repair_negative;baseline_success,True,429,63c5800aa911bca61a0fd1ee887c2631a95f48cbec1dd12ac87ed5df55f46bee
results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,R023,trace_diagnostic,trace_baseline;mechanism_diagnostic,True,629,45943d9865f89db3554c305bf3603faabe9b707137d9b2bc78c2bfc8e1d186d2
results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,R024,trigger_repair_eval;trigger_repair_baseline;trigger_repair_comparator,repair_negative;baseline_success,True,536,ecf086fd3c772ab8de6590938d80cc05a076e628cea89bba849828c46f726625
results/r025_paper_pivot/claims_evidence_matrix.md,R025,paper_pivot,paper_route_supported,True,4507,a5f13b60bcc7ac140250947740fa7371e37721a06a3ae825dfd0f131ee1a6c07
results/r028_framework_refinement/FRAMEWORK_DECISION.md,R028,paper_framework,paper_framing_refined,True,3468,dfbcbfcde15957726d947826e6759585129f503f88c63f1fe52fba2bccde84bd
results/r030_structure_audit/STRUCTURE_AUDIT.md,R030,project_structure,project_navigation_ready,True,3758,bd297dc66742d2e9a2638b25f9e5ae36122c712f48950c6d91329ecac0bd5512
results/r031_trace_schema_module/TRACE_SCHEMA_MODULE.md,R031,project_structure,project_navigation_ready,True,1487,008ffca41dd6a1608eeb17095aae9a6e787e5ca87c23dca20bf4fc32ce8c1a05
results/r032_strategy_spec_module/CODE_AUDIT_AND_FRAMEWORK_REVIEW.md,R032,project_structure,project_navigation_ready,True,3363,595188d100a18e1706af92ccc7e919d55725fa54083584e76ff7d83694c72167
results/r033_evaluation_protocol_module/EVALUATION_PROTOCOL_MODULE.md,R033,project_structure,project_navigation_ready,True,1721,3fa24b17fb83ffb02bcfc9e3508252103f13afb9f6615441373d94aaf016f771
results/r034_registry_validation/REGISTRY_VALIDATION.md,R034,project_structure,project_navigation_ready,True,1884,2250e015630343482ec5bdf7c5e50eb88c5791521f763ed12c3bef0448ef6377
results/r035_registry_numeric_audit/REGISTRY_NUMERIC_AUDIT.md,R035,project_structure,project_navigation_ready,True,2173,991aa76cee147edcbd1bc9ce8b737cda1fafb91fe6ed756210d5e8940fa60496
results/r036_claim_tables/CLAIM_TABLE_GENERATOR.md,R036,paper_artifacts,paper_artifacts_ready,True,2452,c9344b3f21053f55a50ecea9540b00e2919953311e98e7d98e8d93a35c7ee330
results/r037_citation_audit_batch1/CITATION_METADATA_CONTEXT_AUDIT.md,R037,citation_audit,citation_bank_ready_partial,True,3661,493d698839c5372d406a370ff07fe4df8b04b546a5b6a07ff14d65e9579e64ca
results/r038_manuscript_skeleton/MANUSCRIPT_SKELETON.md,R038,manuscript,manuscript_skeleton_ready,True,2666,e6632c0ca1aaff8c4050b09ea72a6b93095671f83cb8397716f1afc5ec590dbd
results/r039_project_organization/PROJECT_ORGANIZATION.md,R039,project_structure,project_navigation_ready,True,2023,abef0f8456bb4bfe4901dedd9215e6f17348510935503ebd54dc528abc165c2c
results/r040_manuscript_polish/MANUSCRIPT_POLISH.md,R040,manuscript,manuscript_sections_strengthened,True,1457,83bfd8033de9ce0195e413a3aa492a30288700aa5c5874739012f20924e3a9b3
results/r041_results_discussion_polish/MANUSCRIPT_POLISH.md,R041,manuscript,manuscript_sections_strengthened,True,1336,c4047c7fba14d9e3afef58979c0002500e224f2079e55e04380aeba06051c5ff
results/r042_citation_context_audit/CITATION_CONTEXT_AUDIT.md,R042,citation_audit,citation_context_audit_passed,True,1776,46ea01db745b5d3c1a19e5970a0512e46b566f440de25e40dd70994c5ecd2f14
results/r043_venue_targeting/VENUE_TARGET_MATRIX.md,R043,paper_planning,venue_route_selected,True,8653,4a66dcbc2b5d6d107f1f7b2158f4d2677c8b63e328b5a0964c2ada0540eff668
results/r044_environment_reproducibility_audit/PROJECT_ENVIRONMENT_REPRODUCIBILITY_AUDIT.md,R044,project_audit,environment_reproducibility_audit_done,True,5767,61d283987ad2e386dde1059a4b3effe1bc91c430e41a3c841b363258ca24553e
results/r045_tase_reproducibility_alignment/MANUSCRIPT_ALIGNMENT.md,R045,manuscript,manuscript_sections_strengthened,True,1656,f70d40c9fbc942a1f53379f09327c66e364c82dd6760f2cf65a136ce017d3478
results/r047_evidence_provenance_package/EVIDENCE_PROVENANCE_AUDIT.md,R047,evidence_audit,evidence_provenance_strengthened,True,3673,e3b50385b088da3909f4d484fd5b895bd87390a6a698831e034a4dfaedfef025
