run_id,configuration,seed,task,strategy,budget,total_steps,n_demos,bc_pretrain_steps,bc_actor_reg_coef,eval_episodes,best_eval_step,best_human_steps,wall_time_s,run_label,best_checkpoint_path,checkpoint_exists,checkpoint_bytes,checkpoint_sha256
R021,random_b350,0,Lift,random,350,10000,20,5000,50.0,20,2000,100,601.5,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,a45fb5c5aa39acf275afed30725cec95a332149866148abce2b9e97669b22847
R021,random_b350,1,Lift,random,350,10000,20,5000,50.0,20,2000,85,631.7,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,5478fce9935bf79eb9c9e0ac599e72ec85811cedcc2981f3409aa6884f4a2866
R021,random_b350,2,Lift,random,350,10000,20,5000,50.0,20,2000,100,651.6,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,b21b9f6cf205aca228ea00a0df646ae9f342a71182ff3691e07b505325454997
R021,random_b350,3,Lift,random,350,10000,20,5000,50.0,20,8000,300,630.3,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,efeb116286bfd4a5249572d09acbd8dde3c3ee293a2c9af77c2c36e7517a30d5
R021,random_b350,4,Lift,random,350,10000,20,5000,50.0,20,8000,300,597.5,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,d7522e0a92b9902ea3a5389ea36605089d8d3c8776d87b2ece98d697595b448c
R021,random_b450,0,Lift,random,450,10000,20,5000,50.0,20,2000,120,811.3,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,395cacecc4bb502d07a65abe5d95c6d586f32743a8aa2b6654d7dbe919966fcb
R021,random_b450,1,Lift,random,450,10000,20,5000,50.0,20,4000,200,597.6,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,5fa31390d5170d7c3fd5f42cb63e507590e8ecb32e81007984b6bf82c6435a65
R021,random_b450,2,Lift,random,450,10000,20,5000,50.0,20,6000,280,588.0,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,f8d5be29fef7e06efe2605c01353476db7baeb19ea3f0f08c0190dfef20cee9c
R021,random_b450,3,Lift,random,450,10000,20,5000,50.0,20,10000,450,564.3,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,ee107b376089c44d92fbfbb0a2b9dec34188e6df856b03d437108325d9ae6383
R021,random_b450,4,Lift,random,450,10000,20,5000,50.0,20,4000,200,623.2,steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,c304bf5005f0a7a40e135f458b6d89428035714724e08ee704e4a1cd0aacb569
